town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,vax_level
Carlisle,0.021,-0.13,6.8,129.8,24.5,9.5,540.6,19.8,0.012,56.7,132.0,67.9,3246.0,4751.0,50.2,1.1,52.0,7.0,57.9,4.1,13.6,18.0,5.7,2.86,11.5,43.4,4.2,98084,-0.15,0.2,2.1,44.4,86.5,20.4,-0.237,15.3,26.0,259.0,20.5,5.4,4.54,0.011,230.0,,0.096,16614.0,98.0,13.0,-0.114,39.5,0.0,4.8,0.868,5.8,94.2,82489.0,0.37,356,,3933,0.9,25.2,3638,55.0,908.0,very high
Carver,0.047,-0.158,8.4,321.5,82.1,9.9,418.0,19.7,0.021,69.0,31.0,69.6,1881.0,2584.0,51.3,1.37,36.0,6.0,97.9,0.0,13.9,5.8,6.7,2.68,21.8,11.6,2.5,26596,0.04,0.8,8.7,42.4,86.9,3.8,0.209,36.7,48.6,150.0,16.4,5.8,6.52,0.006,16.0,252.0,0.115,12474.0,82.4,47.4,-0.09,54.0,6.9,31.9,0.947,6.2,93.8,67111.0,0.31,399,23.1,8176,1.09,23.4,6961,-3.0,2930.0,medium
Charlemont,0.067,-0.049,7.1,221.2,,11.7,462.9,,0.009,63.2,17.0,57.2,1163.0,1842.0,50.6,1.77,33.0,5.4,165.4,23.7,5.7,45.2,7.3,2.25,30.8,12.5,9.9,18407,-0.14,0.0,71.1,47.0,68.8,,0.0,34.8,30.3,52.0,,2.8,0.48,0.003,9.0,,0.038,,86.7,12.6,,34.7,362.2,9.4,0.954,12.5,87.5,,,432,,800,0.39,22.1,743,35.0,293.0,medium
Charlton,0.06,-0.142,8.9,460.7,,9.6,432.4,,0.019,159.3,30.0,53.9,834.0,1548.0,50.9,6.63,103.0,9.0,112.5,3.1,13.3,11.6,5.5,2.78,16.9,16.3,3.7,31079,-0.01,0.7,10.0,39.5,98.8,,0.23,35.1,45.8,155.0,16.8,10.0,3.14,0.003,14.0,132.0,0.166,,86.2,25.0,,40.6,57.6,4.8,0.94,16.3,83.7,,,374,14.5,9514,1.12,19.5,8122,-5.0,3391.0,medium
Chatham,0.079,-0.109,4.9,4158.4,32.7,11.6,585.8,14.4,0.06,72.7,231.0,28.3,1570.0,4709.0,52.7,7.72,364.0,11.6,100.3,21.2,2.2,18.3,1.2,1.95,36.5,26.1,6.6,38178,-0.28,0.7,58.8,56.9,56.5,,0.288,21.9,12.3,279.0,43.8,5.9,1.49,0.0,94.0,275.0,0.198,17062.0,92.9,86.0,,55.5,1.6,8.2,0.987,6.3,93.7,70171.0,0.19,529,29.1,5603,0.16,20.0,5075,25.0,797.0,high
Chelmsford,0.241,-0.103,9.5,100.6,17.6,9.0,504.4,19.9,0.196,97.7,50.0,47.1,1418.0,2957.0,51.6,4.31,127.0,17.4,52.3,1.5,6.3,14.5,5.6,2.53,25.5,19.4,9.2,41557,0.03,0.4,13.6,43.3,67.5,18.8,0.08,24.3,31.3,164.0,17.6,5.5,2.59,0.01,156.0,159.0,0.144,11751.0,80.5,17.3,-0.074,46.9,1.8,12.9,0.951,5.5,94.5,66416.0,0.35,332,7.3,24504,0.4,23.7,22349,27.0,9051.0,high
Chelsea,0.833,,18.6,38.4,110.5,6.3,452.1,21.2,0.285,129.0,9.0,56.9,1817.0,2702.0,49.1,6.18,167.0,11.1,14.1,2.6,1.3,67.5,32.9,2.92,29.3,10.4,3.6,14969,0.22,2.6,15.9,32.2,28.6,91.8,-0.029,5.7,61.4,198.0,28.3,7.3,-0.1,0.013,61.0,384.0,,13345.0,67.6,14.7,0.052,33.6,0.0,46.6,0.981,29.9,70.1,63751.0,0.5,282,185.2,14271,0.13,53.4,10524,56.0,11744.0,very high
Cheshire,0.046,-0.011,8.3,485.3,6.2,10.5,395.4,,0.0,94.6,7.0,58.3,839.0,1331.0,49.4,0.6,8.0,7.2,214.2,9.3,22.0,26.0,3.9,2.31,26.4,16.9,7.5,24304,0.01,0.3,12.4,46.9,60.3,,0.008,37.1,10.7,22.0,,1.7,0.6,-0.006,1.0,34.0,0.164,,90.5,10.8,,40.5,531.7,18.2,0.951,13.8,86.2,,,482,3.1,2335,0.17,27.4,1946,18.0,678.0,medium
Chester,0.051,-0.094,7.5,448.8,,10.7,361.3,,0.0,54.6,20.0,63.6,1284.0,1983.0,48.7,1.45,29.0,4.7,129.3,22.4,46.3,48.7,0.0,2.46,25.8,12.1,7.0,19766,-0.13,0.7,29.9,46.8,82.9,,0.043,54.6,25.8,35.0,,1.7,0.03,0.001,,,0.125,,92.3,29.9,,30.0,231.7,10.3,0.935,9.7,90.4,,,476,,891,0.54,19.4,744,-14.0,323.0,low
Chesterfield,0.015,-0.112,2.5,360.1,,11.9,399.3,,0.0,35.2,22.0,59.7,1363.0,2166.0,49.0,0.73,16.0,5.4,331.4,40.9,5.8,32.3,3.4,2.39,23.5,22.0,7.0,16279,-0.12,0.0,16.4,49.0,83.0,,0.06,43.4,17.6,33.0,,1.5,1.46,-0.002,12.0,57.0,0.15,,94.5,22.1,,25.0,410.2,9.1,0.971,9.9,90.1,,,494,0.0,888,0.66,24.3,822,27.0,304.0,low
Chicopee,0.282,-0.102,11.2,205.4,78.8,10.6,446.7,18.2,0.1,135.2,65.0,51.2,1298.0,2100.0,52.2,6.95,146.0,17.2,54.9,2.0,7.2,31.9,8.0,2.28,34.3,10.2,10.3,17854,-0.01,1.6,16.6,40.2,40.9,38.1,0.114,18.3,33.8,141.0,23.2,6.7,0.12,0.001,73.0,302.0,0.071,12736.0,77.5,12.8,0.0,38.2,24.0,39.0,0.916,16.0,84.0,64213.0,0.43,280,46.2,35761,0.23,39.6,25795,15.0,13720.0,medium
Chilmark,0.0,0.008,3.5,2702.1,45.6,14.8,722.9,,,39.3,,,,,49.3,,,,182.2,0.0,35.4,16.4,1.2,2.16,31.7,29.4,9.4,56790,-0.08,1.2,,45.8,74.6,,-0.244,39.3,7.5,,45.9,,3.73,0.014,84.0,,0.166,,97.8,144.3,,34.1,0.0,0.1,0.929,,94.4,,,907,,902,0.84,44.3,921,74.0,178.0,very high
Clinton,0.418,-0.138,14.3,119.1,,9.8,449.4,18.2,0.19,28.2,37.0,50.9,1279.0,2407.0,51.1,4.61,111.0,17.1,69.7,6.6,8.4,47.7,9.2,2.32,33.4,13.1,8.3,24514,0.05,1.4,20.6,38.4,58.7,28.9,0.025,20.7,29.2,178.0,19.7,7.4,0.11,0.003,51.0,44.0,0.11,11273.0,84.6,17.8,-0.064,34.1,27.1,38.1,0.947,15.6,84.4,72778.0,0.28,293,6.5,9363,0.24,33.3,7826,23.0,3652.0,high
Cohasset,0.115,-0.01,8.0,869.8,39.5,9.8,406.8,20.6,0.07,83.3,83.0,44.6,2066.0,4636.0,50.9,5.87,272.0,14.0,45.2,9.3,2.3,33.8,3.0,2.74,22.7,26.7,8.1,83416,-0.17,0.1,23.9,43.1,70.0,5.8,0.188,15.1,18.7,262.0,26.4,5.7,1.02,0.007,52.0,,0.12,13524.0,93.0,32.7,0.08,55.9,2.6,4.8,0.837,6.2,93.8,71360.0,0.3,386,,5829,0.13,21.4,5669,39.0,1446.0,very high
Colrain,0.062,-0.015,12.0,287.3,,11.2,428.5,,0.0,68.2,28.0,60.8,1080.0,1580.0,48.3,1.27,20.0,6.3,187.9,12.0,37.9,39.7,7.5,2.45,26.5,11.3,13.2,24745,0.16,0.6,18.0,44.4,73.6,,0.245,39.5,30.7,41.0,,2.6,0.08,0.003,41.0,,0.083,,88.0,23.9,,37.0,686.2,8.1,0.9,6.9,93.1,,,458,,1185,0.22,23.9,1007,36.0,346.0,medium
Concord,0.161,-0.068,6.2,74.7,,8.8,466.7,17.1,0.12,115.6,115.0,60.4,2477.0,4058.0,49.3,4.77,193.0,4.4,34.7,14.1,2.9,28.5,4.2,2.46,27.2,47.4,9.1,103066,-0.24,0.2,14.7,46.5,64.4,21.0,0.105,10.1,12.2,219.0,23.1,5.4,1.05,0.01,836.0,94.0,0.102,16893.0,90.7,14.5,0.141,58.8,1.7,4.8,0.824,12.6,87.4,83291.0,0.3,268,7.2,13012,0.33,34.6,12311,65.0,4182.0,high
Conway,0.062,-0.036,7.4,258.3,,9.9,436.0,17.6,0.0,29.0,11.0,58.8,1412.0,2392.0,51.3,0.8,19.0,10.4,191.8,15.8,3.2,35.0,7.2,2.46,23.5,22.5,9.4,34991,-0.02,0.0,10.5,46.5,87.6,4.4,0.122,29.0,18.2,55.0,,2.3,1.17,0.003,29.0,,0.048,12692.0,91.2,20.6,0.053,27.1,499.2,17.2,0.88,6.4,93.6,52287.0,0.21,379,,1547,0.93,39.1,1303,55.0,438.0,low
Cummington,0.052,0.014,6.9,229.4,34.5,11.1,498.9,,0.0,29.8,12.0,56.8,1102.0,1697.0,50.0,1.03,18.0,3.8,156.3,11.5,85.5,47.6,4.1,2.16,35.4,17.3,7.1,26185,0.07,1.1,11.5,43.7,72.2,,0.275,58.5,17.3,21.0,,1.2,0.41,-0.002,22.0,,0.134,,88.5,14.9,,31.5,413.8,10.2,0.778,14.6,85.4,,,430,,679,0.45,22.9,591,42.0,175.0,high
Dalton,0.144,-0.056,7.4,196.9,29.8,9.3,404.7,,0.041,88.5,36.0,60.8,1200.0,1776.0,52.0,,,9.7,106.8,10.4,2.7,36.9,4.5,2.43,27.0,13.3,14.9,32234,0.13,1.3,22.2,46.1,49.9,,0.128,24.9,24.1,119.0,14.7,6.7,0.42,-0.006,33.0,100.0,0.14,,83.6,12.9,,45.8,205.5,8.2,0.92,11.7,88.4,,,351,31.0,4667,0.18,30.4,3821,43.0,1449.0,medium
Danvers,0.248,-0.107,8.4,323.1,33.0,8.9,476.8,19.3,0.152,132.1,73.0,43.9,1274.0,2825.0,53.2,5.58,158.0,17.5,51.4,5.3,6.6,26.1,3.2,2.42,29.2,13.3,9.3,33474,0.03,0.5,17.0,43.7,58.9,11.4,0.075,21.6,31.1,207.0,21.8,7.3,0.69,0.008,51.0,280.0,0.158,12923.0,73.4,23.4,0.003,45.3,0.7,7.7,0.916,12.8,87.2,71015.0,0.4,349,21.5,18963,0.32,22.8,16907,18.0,6844.0,high
Dartmouth,0.071,-0.138,5.5,481.3,46.7,10.3,425.9,20.5,0.025,98.9,34.0,58.5,1088.0,1839.0,49.7,,,8.2,74.2,1.8,6.3,18.8,6.8,2.54,23.8,11.6,9.2,26800,-0.08,0.4,13.2,43.2,69.4,9.4,0.288,25.3,42.4,158.0,21.9,8.6,2.06,0.001,187.0,295.0,0.117,11220.0,83.3,38.2,-0.076,53.7,1.5,16.3,0.915,9.7,90.3,66531.0,0.34,316,21.2,24104,0.77,36.9,17884,11.0,8189.0,low
Dedham,0.154,-0.088,10.6,89.4,28.9,9.2,451.6,16.8,0.066,104.7,,,,,51.6,,,,38.1,2.0,7.1,38.2,5.7,2.45,28.7,19.5,12.6,41722,0.04,0.8,19.8,43.0,54.7,24.1,-0.159,14.8,32.4,,22.9,,0.34,0.007,290.0,248.0,0.141,16040.0,79.3,16.5,-0.011,46.0,2.0,6.6,0.845,13.2,86.8,69546.0,0.47,291,7.6,17899,0.11,35.8,15867,38.0,6918.0,high
Deerfield,0.169,-0.07,7.6,269.3,95.3,10.4,490.3,19.4,0.056,128.0,40.0,63.3,1365.0,2142.0,51.1,,,10.9,121.2,3.9,3.5,35.6,6.4,2.33,26.3,25.2,9.8,34119,-0.13,0.6,31.2,45.3,72.2,9.3,-0.057,22.6,18.5,130.0,15.5,6.1,0.66,0.003,23.0,162.0,0.09,12477.0,74.9,18.9,-0.083,40.6,305.4,14.2,0.867,26.6,73.4,55015.0,0.27,360,15.4,3676,0.51,30.3,3350,47.0,1271.0,high
Dennis,0.143,-0.111,8.2,1217.0,146.5,10.9,554.3,,0.1,160.0,193.0,36.9,1152.0,2735.0,53.6,9.1,249.0,11.3,,3.5,9.5,11.6,2.2,2.03,36.4,20.9,3.7,26477,-0.01,1.3,45.8,52.5,51.5,,0.05,20.6,19.2,268.0,34.3,9.8,4.69,-0.001,134.0,369.0,0.068,,92.2,66.6,,50.8,7.7,1.3,0.938,2.7,97.3,,,436,34.2,11762,0.36,24.3,10321,22.0,1919.0,high
Dighton,0.07,-0.156,7.8,388.1,21.1,10.5,451.6,,0.012,44.5,30.0,59.8,1221.0,2040.0,49.9,4.66,95.0,8.3,113.6,4.2,14.5,28.8,5.4,2.83,19.1,12.2,13.7,28019,0.0,0.3,8.5,42.6,89.9,,0.319,38.0,56.6,139.0,14.0,6.8,1.4,0.001,20.0,68.0,0.12,,85.8,53.1,,44.7,0.0,4.3,0.948,10.2,89.8,,,414,14.0,4860,0.64,24.3,4724,-7.0,1957.0,medium
Douglas,0.094,-0.135,12.2,527.7,30.6,9.9,430.8,20.9,0.034,71.5,25.0,53.5,1474.0,2755.0,50.2,0.98,27.0,16.9,116.4,3.5,18.4,24.3,4.9,2.82,16.9,13.5,2.8,30346,-0.02,0.6,11.8,39.3,103.0,5.4,0.439,41.8,36.7,174.0,23.5,6.3,2.23,0.003,5.0,59.0,0.275,10070.0,93.8,31.3,-0.058,32.8,81.2,38.3,0.945,8.5,91.5,59762.0,0.42,402,12.8,6194,1.8,18.7,5534,-9.0,2438.0,low
Dover,0.056,-0.12,7.0,103.8,14.2,9.4,468.4,18.3,0.034,81.1,155.0,60.5,3009.0,4858.0,50.3,1.53,74.0,9.7,64.7,3.6,1.4,22.7,5.6,2.99,13.2,27.9,11.1,206084,-0.15,0.0,3.6,43.5,77.8,17.4,0.646,14.1,21.4,310.0,30.2,6.4,2.25,0.007,137.0,79.0,0.143,18313.0,97.3,17.9,-0.097,53.0,0.0,4.5,0.806,12.2,87.8,92765.0,0.28,375,5.3,4184,0.32,18.7,4023,40.0,941.0,very high
Dracut,0.242,-0.105,10.9,119.5,4.0,9.5,467.5,21.8,0.174,72.7,30.0,57.1,1073.0,1874.0,51.0,5.33,100.0,7.4,57.1,0.0,5.4,15.2,6.6,2.69,22.3,13.0,9.0,28944,0.03,0.7,18.0,40.2,64.6,16.3,0.051,25.9,53.1,116.0,14.5,6.2,2.4,0.011,9.0,104.0,0.137,10431.0,90.2,22.8,-0.076,38.1,1.7,29.6,0.879,6.6,93.4,68284.0,0.38,351,4.7,20065,0.76,30.6,17845,-0.59,8483.0,medium
Dudley,0.129,-0.189,8.8,296.8,32.4,9.4,427.0,,0.026,71.6,17.0,52.2,585.0,1121.0,49.9,4.05,45.0,10.8,86.1,2.6,7.4,26.2,3.4,2.6,22.8,12.1,7.9,23751,-0.05,0.4,17.6,35.8,76.4,,0.237,29.8,35.7,109.0,14.0,9.7,1.16,0.003,8.0,64.0,0.143,,92.0,17.8,,38.2,40.3,9.7,0.955,10.8,89.2,,,339,33.8,7145,0.58,26.5,6092,-7.0,2951.0,low
Dunstable,0.01,-0.099,3.1,204.5,,9.5,446.4,,0.0,74.2,54.0,62.8,1444.0,2165.0,49.7,1.19,26.0,5.3,82.8,3.1,19.2,12.4,3.6,2.99,12.8,22.4,7.6,50766,0.17,0.3,,40.8,98.7,,-0.012,26.1,40.5,249.0,25.0,11.5,5.09,0.011,17.0,,0.079,,96.4,20.1,,32.4,15.6,2.7,0.914,5.3,94.7,,,401,,2230,1.42,18.5,2173,17.0,694.0,medium
Duxbury,0.07,-0.144,6.2,841.4,9.9,8.8,396.1,20.7,0.058,57.0,118.0,59.6,1921.0,3126.0,51.9,5.08,159.0,6.1,60.0,8.0,4.4,17.0,1.7,2.79,19.5,25.6,5.9,66332,-0.07,0.3,12.0,43.9,89.2,5.0,0.218,15.6,23.4,209.0,23.1,6.7,3.75,0.005,201.0,62.0,0.114,11825.0,95.7,40.0,-0.038,60.2,2.6,8.0,0.938,8.7,91.3,66540.0,0.4,428,2.0,11470,0.57,19.5,11219,26.0,2851.0,high
East Bridgewater,0.141,-0.081,9.5,178.4,,10.3,410.8,28.2,0.068,97.4,32.0,46.5,1284.0,2699.0,51.2,4.96,134.0,19.8,92.4,1.4,5.1,25.3,6.9,2.88,19.2,,9.6,27231,0.03,0.7,16.7,41.8,78.6,5.7,-0.095,26.4,64.8,141.0,16.6,5.2,2.13,0.006,13.0,157.0,0.267,10381.0,89.1,34.7,-0.074,42.6,4.3,27.7,0.934,6.9,93.2,72557.0,0.44,374,17.2,9623,0.91,23.0,8767,-2.0,3610.0,medium
East Brookfield,0.069,-0.135,10.5,797.1,59.4,9.6,443.4,,0.002,89.8,41.0,46.9,863.0,1839.0,49.3,3.19,59.0,6.7,148.4,0.0,33.4,32.4,6.4,2.64,18.7,,11.4,26397,-0.11,0.9,32.1,41.1,78.4,,0.056,34.4,41.1,141.0,18.2,7.7,0.76,0.003,1.0,167.0,0.153,,90.9,24.3,,44.5,219.2,7.4,0.954,9.0,91.0,,,431,13.6,1479,0.46,19.9,1365,-11.0,599.0,low
East Longmeadow,0.034,-0.074,7.8,176.2,41.3,9.8,476.0,20.2,0.021,138.8,52.0,43.0,1625.0,3728.0,52.9,1.16,43.0,12.4,64.6,1.9,5.9,9.7,5.2,2.61,23.7,,9.9,33699,-0.01,0.3,15.9,43.4,64.5,11.9,0.268,19.8,38.5,159.0,16.4,4.3,2.22,0.001,23.0,227.0,0.06,12153.0,82.6,13.5,-0.043,63.9,33.7,20.4,0.977,8.4,91.6,66723.0,0.28,339,15.8,11318,0.46,24.7,10122,7.0,3771.0,medium
Eastham,0.07,-0.086,6.1,1626.3,72.7,10.9,523.6,17.6,0.042,128.7,122.0,35.7,1451.0,3576.0,53.5,8.7,311.0,16.3,116.7,24.2,2.0,5.3,1.3,2.08,30.4,30.5,6.4,25769,-0.03,0.6,34.3,56.6,62.4,10.3,0.212,25.4,16.8,307.0,40.1,8.6,4.76,-0.001,71.0,252.0,0.124,19519.0,95.9,97.3,-0.085,51.6,0.0,2.1,0.996,7.3,92.7,71920.0,0.17,552,16.0,4269,0.72,28.8,4100,42.0,572.0,very high
Easthampton,0.226,-0.022,10.3,235.5,,9.9,490.4,19.0,0.066,55.9,31.0,44.1,921.0,2052.0,52.5,6.02,123.0,19.7,75.3,1.9,11.6,31.3,3.9,2.21,33.9,15.6,9.4,23990,0.01,0.6,20.6,42.8,54.4,15.1,-0.01,24.7,24.4,134.0,19.8,6.5,0.5,-0.002,49.0,124.0,0.215,11382.0,87.0,16.3,-0.035,35.1,67.4,27.7,0.908,9.2,90.8,62483.0,0.3,324,21.7,11921,0.39,34.4,10592,50.0,4563.0,high
Easton,0.222,-0.105,9.1,122.4,58.4,9.1,428.6,19.8,0.167,84.8,20.0,53.1,1432.0,2686.0,52.1,4.69,126.0,17.3,51.4,2.6,4.5,15.7,6.4,2.66,22.4,18.5,4.8,39783,0.02,0.4,13.0,37.9,79.1,14.4,0.05,18.1,32.8,163.0,16.8,6.1,2.7,0.001,62.0,111.0,0.144,11133.0,85.7,20.5,-0.012,38.6,4.8,17.4,0.968,8.8,91.2,67837.0,0.28,332,13.3,15965,0.8,26.0,14519,22.0,4854.0,high
Edgartown,0.046,-0.049,10.1,2082.6,109.1,13.5,572.4,17.2,,33.9,217.0,33.8,2312.0,6845.0,48.6,1.34,91.0,14.6,126.6,7.4,10.2,13.5,4.0,2.25,31.5,23.1,2.3,41123,-0.09,0.2,88.5,43.5,65.1,18.1,-0.124,41.8,17.3,586.0,44.0,8.6,1.7,0.014,74.0,,0.16,20887.0,92.7,137.2,0.054,34.9,2.4,5.7,0.968,,90.7,75025.0,0.31,847,,3293,0.51,32.9,3101,43.0,977.0,very high
Egremont,0.023,-0.176,4.1,179.6,32.8,11.6,578.8,,0.0,96.3,41.0,42.0,1129.0,2419.0,52.8,2.32,56.0,10.4,27.9,24.5,23.4,22.1,3.3,2.16,30.2,15.4,8.7,21335,-0.13,0.8,57.1,56.4,58.7,,-0.111,26.1,16.0,216.0,56.8,8.9,0.68,-0.006,14.0,146.0,0.046,,94.1,7.3,,47.1,32.8,5.8,0.68,13.6,86.4,,,452,24.4,982,0.14,37.7,973,63.0,159.0,low
Erving,0.114,-0.009,8.9,305.6,99.7,11.4,356.7,18.0,0.027,98.3,48.0,34.1,1606.0,4710.0,51.1,1.44,68.0,11.3,145.6,0.0,7.3,35.9,3.7,2.42,29.1,10.8,10.9,16383,-0.1,0.6,27.8,39.6,75.6,10.7,0.0,22.8,25.5,179.0,33.1,3.8,0.36,0.003,13.0,203.0,0.158,16217.0,18.7,10.0,-0.178,35.5,116.3,11.6,0.982,4.3,95.7,56405.0,0.25,365,60.4,1107,0.39,22.2,929,21.0,533.0,high
Essex,0.168,-0.056,8.8,2180.4,39.6,9.9,416.1,,0.044,58.8,28.0,60.9,2010.0,3256.0,50.0,2.03,66.0,6.6,83.8,14.3,9.9,40.7,4.4,2.5,28.0,26.2,9.1,46481,-0.03,0.0,48.5,47.3,70.5,,-0.221,23.1,27.8,273.0,34.0,8.4,0.95,0.008,39.0,76.0,0.201,,89.2,61.6,,34.6,14.2,1.5,0.93,5.8,94.2,,,462,0.0,2725,0.45,20.4,2512,34.0,854.0,high
Everett,0.668,,15.1,38.6,57.2,10.6,350.2,19.8,0.173,54.3,23.0,47.8,1418.0,2908.0,50.9,6.52,190.0,11.8,16.5,0.0,0.4,63.4,22.9,2.67,27.7,11.4,8.8,16566,-0.09,2.0,13.4,35.6,33.7,63.6,-0.282,8.4,50.2,208.0,23.9,7.1,-0.09,0.01,63.0,233.0,,12261.0,63.7,14.2,0.189,35.8,0.5,33.7,0.934,14.2,85.8,69151.0,0.54,214,40.0,19903,-0.1,50.6,14817,43.0,13951.0,high
Fairhaven,0.112,-0.12,8.1,694.9,71.7,10.4,466.6,17.1,0.028,151.5,56.0,54.0,1280.0,2299.0,51.9,5.13,118.0,8.7,86.1,3.8,0.0,38.1,4.0,2.33,31.4,11.7,9.9,24528,0.01,0.9,25.2,44.3,55.0,8.7,0.126,29.3,35.2,174.0,22.5,7.6,0.24,0.001,26.0,263.0,0.143,12117.0,85.6,47.9,-0.022,47.8,0.0,22.1,0.935,8.1,91.9,60033.0,0.42,351,31.2,10960,0.2,33.4,9557,9.0,3837.0,low
Fall River,0.509,-0.162,13.0,106.2,97.0,10.8,395.3,20.2,0.088,194.8,25.0,49.1,977.0,1824.0,52.5,6.49,118.0,11.4,27.6,11.8,7.3,58.6,10.1,2.27,34.9,6.4,7.3,14536,-0.02,3.7,17.0,38.0,37.8,37.8,0.061,16.0,31.6,168.0,28.0,9.2,-0.21,0.001,46.0,305.0,0.241,13844.0,77.6,38.3,0.015,35.4,0.4,48.4,0.913,14.6,85.4,74949.0,0.42,233,106.3,50556,0.2,54.3,31616,12.0,23157.0,medium
Falmouth,0.082,-0.096,8.1,1379.9,184.4,10.4,520.2,16.4,0.056,113.4,85.0,41.0,1391.0,3160.0,53.2,5.42,171.0,18.1,69.1,4.1,9.7,13.7,6.4,2.21,32.5,24.9,7.0,30119,-0.06,1.4,30.4,50.8,59.4,16.2,0.106,20.9,25.7,154.0,18.9,4.9,2.64,-0.001,497.0,336.0,0.195,14939.0,92.2,54.5,-0.062,52.1,1.6,7.6,0.922,9.3,90.7,72191.0,0.29,396,40.6,25376,0.57,29.4,21890,31.0,5473.0,high
Fitchburg,0.368,-0.244,13.5,85.8,114.7,10.4,379.6,20.8,0.088,127.2,22.0,52.6,1146.0,2026.0,51.4,6.45,131.0,12.0,44.5,2.0,8.2,47.5,12.9,2.49,29.8,13.9,7.4,16553,0.03,2.5,16.4,34.3,49.3,62.1,0.002,16.1,40.5,144.0,19.7,7.1,-0.06,0.003,40.0,268.0,0.133,12681.0,78.7,14.9,-0.047,35.9,15.1,43.9,0.918,19.8,80.2,69317.0,0.3,264,78.2,21905,0.23,32.7,16509,22.0,10565.0,medium
Florida,0.003,-0.048,10.6,332.4,,10.4,311.2,12.5,0.0,85.1,27.0,51.1,1823.0,3405.0,48.7,1.87,64.0,17.3,48.1,13.3,18.2,24.5,8.4,2.44,21.8,5.8,12.1,13787,-0.11,0.0,,42.7,77.9,6.8,-0.118,39.9,9.7,2.0,,0.1,0.57,-0.005,,,0.192,13512.0,49.6,5.3,-0.116,37.3,949.2,20.6,0.982,4.9,95.1,37580.0,0.47,508,,538,0.13,20.5,418,1.4,188.0,low
Foxborough,0.152,-0.09,9.7,136.4,,8.8,468.9,17.2,0.076,116.6,58.0,51.9,1620.0,3082.0,50.9,5.18,160.0,15.8,54.5,5.3,3.0,19.1,4.4,2.59,24.7,18.5,7.3,38411,-0.01,0.3,25.5,40.6,74.6,10.9,0.011,21.3,30.3,171.0,21.8,5.5,1.4,0.007,51.0,,0.213,13635.0,74.2,22.9,-0.058,38.5,6.5,15.7,0.928,21.6,78.4,72232.0,0.35,360,,12189,0.61,23.2,11346,21.0,4608.0,medium
Framingham,0.247,-0.122,14.1,74.8,30.7,9.9,479.9,18.6,0.147,132.9,78.0,57.5,1469.0,2556.0,51.7,6.99,179.0,7.9,28.8,2.2,6.7,22.3,24.7,2.47,28.4,17.7,5.8,29591,-0.03,1.3,12.7,37.5,52.6,38.0,-0.056,12.9,29.8,152.0,18.3,5.9,1.43,0.01,441.0,178.0,0.222,15995.0,76.8,13.1,0.006,35.3,2.9,13.4,0.932,11.8,88.2,73653.0,0.41,262,22.1,36948,0.15,36.2,32048,50.0,20541.0,high
Franklin,0.205,-0.096,9.0,106.2,7.8,8.5,419.6,21.3,0.15,61.8,29.0,57.5,1672.0,2863.0,51.0,4.63,133.0,8.4,51.5,0.9,4.4,14.7,5.8,2.8,20.8,20.0,7.6,39291,0.07,0.3,11.7,37.0,80.6,10.8,0.298,18.5,29.8,130.0,16.3,4.6,2.94,0.007,168.0,42.0,0.161,11108.0,78.9,20.3,-0.062,35.4,4.4,28.7,0.943,8.3,91.7,71127.0,0.39,334,3.4,21038,1.3,22.4,20346,25.0,8308.0,medium
